"id";"apellido";"email";"nombre";"notas";"telefono";"id_tipo_cliente"
12;"Perez";"juanperez@gmail.com";"Juan";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consectetur. Donec quis rhoncus elit. Cras luctus, lorem vitae sodales malesuada, velit lacus lobortis ligula, sit amet dignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 4895-4565";2
13;"Piedra";"jacintopiedra@yahoo.com";"Jacinto";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam augue metus, luctus sed dictum nam.";"11 4895-4561";1
14;"Luna";"argentinoluna@gmail.com";"Argentino";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consectetur. Donec quis rhoncus elit. Cras luctus, lorem vitae sodales malesuada, velit lacus lobortis ligula, sit amet dignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5498-8431";2
15;"Mesa";"juancamesa@gmail.com";"Juan Carlos";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam augue metus, luctus sed dictum nam.";"11 3256-6452";1
16;"Storni";"alfonstorni@yahoo.com";"Alfonsina";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consectetur. Donec quis rhoncus elit. Cras luctus, lorem vitae sodales malesuada, velit lacus lobortis ligula, sit amet dignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 4568-8463";1
17;"Ocampo";"vickyvicky@gmail.com";"Vicoria";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam augue metus, luctus sed dictum nam.";"11 4587-6513";2
18;"Paez";"fito@gmail.com";"Rodolfo";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consectetur. Donec quis rhoncus elit. Cras luctus, lorem vitae sodales malesuada, velit lacus lobortis ligula, sit amet dignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 3245-6512";1
19;"Borges";"jorgeluisb@yahoo.com";"Jorge Luis";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam augue metus, luctus sed dictum nam.";"11 5648-5633";1
20;"Roos";"jaime@gmail.com";"Jaime";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam ipsum urna, sodales quis mollis eu, tincidunt vel massa. Sed ac lorem cursus vivamus.";"11 5645-1234";2
21;"Roos";"maruroos@gmail.com";"Marilina";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Aliquam ipsum urna, sodales quis mollis eu, tincidunt vel massa. Sed ac lorem cursus vivamus.";"11 1234-4567";2
22;"Laura";"lauritaavellaneda@gmail.com";"Avellaneda";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";1
23;"Canario";"lauritaavellaneda@gmail.com";"Luna";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";8
29;"Nicolás";"nicoavellaneda@gmail.com";"Avellaneda";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";2
34;"Ramos Mejia";"lauritaavellaneda@gmail.com";"Juan";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";1
36;"Ramos Mejia";"lauritaavellaneda@gmail.com";"Pancho";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";5
37;"Ramos Mejia";"lauritaavellaneda@gmail.com";"Pancho";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";1
38;"Ramos Mejia";"lauritaavellaneda@gmail.com";"Pancho";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";1
41;"Ramos Mejia";"lauritaavellaneda@gmail.com";"Pancho";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";2
42;"Ramos Mejia";"lauritaavellaneda@gmail.com";"Pancho";"Lorem ipsum dolor sit amet, consectetur adipiscing elit. Nam pellentesque ex eu tellus aliquet, ut vehicula ex consignissim libero ex in neque. Aliquam facilisis sit amet ligula vel finibus. In mollis, ligula vel.";"11 5445-5631";6
